"计费名","代码位ID","代码位","网站ID","媒体(域名)","时间","展现","点击","收入","千次展现收入","单次点击收入","填充率(%)","点击率(%)"
"56174445_cpr","u7010459","dz03信息流_260306_1","275810865","dz169.com","2026-03-10","53250","21","0.69","0.01","0.03","--","0.04"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-10","25","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-10","3","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010460","dz03开屏_260306_1","275810865","dz169.com","2026-03-10","9418","466","18.57","1.97","0.04","--","4.95"
"56174445_cpr","u7010459","dz03信息流_260306_1","275810865","dz169.com","2026-03-09","6593","14","0.35","0.05","0.02","--","0.21"
"56174445_cpr","u7010460","dz03开屏_260306_1","275810865","dz169.com","2026-03-09","6434","126","11.66","1.81","0.09","--","1.96"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-09","3","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-09","34","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-08","2","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-08","14","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010459","dz03信息流_260306_1","275810865","dz169.com","2026-03-07","13","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010460","dz03开屏_260306_1","275810865","dz169.com","2026-03-07","1","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-06","7","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010438","dz02信息流_260305_1","275810865","dz169.com","2026-03-06","14","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-06","53","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7009561","test","275810865","dz169.com","2026-03-05","1","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-05","17","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-05","162","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010438","dz02信息流_260305_1","275810865","dz169.com","2026-03-05","74","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010323","dz01信息流_26228_1","275810865","dz169.com","2026-03-04","92","0","0.00","0.00","--","--","0.00"
"56174445_cpr","u7010324","dz01开屏_26228_1","275810865","dz169.com","2026-03-04","5","1","0.06","11.70","0.06","--","20.00"
